,v0,v1,v2,v3
,-908863,-582911,-1.10029e+06,-1.0624e+06
,-909074,-576985,-1.10695e+06,-1.06424e+06
,-907458,-576301,-1.05039e+06,-1.10177e+06
,-867076,-575520,-1.05826e+06,-1.10362e+06
,-862748,-540189,-1.0591e+06,-1.10028e+06
,-859663,-573961,-1.06241e+06,-1.09848e+06
,-858063,-576762,-1.05985e+06,-1.06013e+06
,-856820,-581899,-1.06397e+06,-1.05855e+06
,-914162,-589054,-1.06321e+06,-1.05346e+06
,-912147,-597722,-1.06187e+06,-1.11384e+06
,-910348,-640774,-1.06133e+06,-1.10877e+06
,-907514,-653763,-1.06137e+06,-1.10444e+06
,-905711,-602389,-1.05723e+06,-1.09846e+06
,-908579,-651821,-1.05604e+06,-1.06162e+06
,-905447,-706005,-1.05724e+06,-1.05964e+06
,-867892,-660938,-1.05648e+06,-1.05646e+06
,-903130,-716041,-1.05059e+06,-1.05085e+06
,-909601,-774891,-1.05013e+06,-1.04912e+06
,-855520,-730840,-1.10846e+06,-1.04062e+06
,-917306,-787649,-1.10212e+06,-1.03422e+06
,-970529,-850219,-1.10256e+06,-1.03399e+06
,-981285,-845326,-1.09826e+06,-997578
,-924133,-905233,-1.0603e+06,-992996
,-929594,-867360,-1.05266e+06,-987172
,-968954,-921655,-1.03933e+06,-1.04044e+06
,-976410,-975630,-992966,-994810
,-978181,-933156,-1.04518e+06,-983267
,-981477,-982840,-993767,-932669
,-984083,-999204,-975115,-980968
,-985872,-1.04554e+06,-921055,-928217
,-986102,-990990,-931836,-906797
,-988713,-1.03276e+06,-909363,-851971
,-990681,-1.04167e+06,-856015,-864550
,-990502,-1.04705e+06,-866526,-842475
,-990975,-1.05034e+06,-844796,-787955
,-989154,-1.05347e+06,-792278,-801255
,-992229,-1.05288e+06,-835789,-779839
,-992747,-1.05389e+06,-785361,-729920
,-991276,-1.0521e+06,-736973,-780017
,-990958,-1.0478e+06,-786432,-731356
,-991016,-1.0434e+06,-773636,-718371
,-989729,-1.03984e+06,-730886,-708658
,-988987,-1.03372e+06,-721468,-667354
,-989639,-994808,-714244,-661043
,-987906,-988182,-710458,-657450
,-986400,-1.04704e+06,-707624,-656192
,-985328,-1.03909e+06,-707370,-656581
,-985855,-997640,-706876,-657879
,-987193,-989989,-709905,-662282
,-989455,-982989,-711922,-667710
,-991487,-975148,-719344,-709348
,-989977,-968385,-726847,-719417
,-990187,-926968,-732439,-728113
,-990424,-919496,-774450,-773125
,-987607,-976402,-783921,-785393
,-986334,-933572,-724169,-729289
,-992493,-923073,-727303,-770581
,-995619,-916514,-774464,-787220
,-991467,-906999,-783860,-799500
,-989759,-864061,-789780,-842786
,-988921,-854729,-795407,-787704
,-989411,-909352,-802025,-797446
,-991173,-865070,-838960,-838459
,-996034,-852483,-842804,-845373
,-1.03292e+06,-840904,-846861,-853054
,-1.03583e+06,-796408,-850674,-859642
,-1.03659e+06,-849451,-787766,-865489
,-1.03755e+06,-835849,-789309,-901650
,-1.03834e+06,-789230,-789767,-903875
,-1.03865e+06,-775885,-790031,-905721
,-1.03783e+06,-728788,-788772,-905970
,-1.03864e+06,-778977,-786925,-904146
,-1.04037e+06,-715812,-846093,-864740
,-1.04111e+06,-669717,-842730,-860922
,-1.04147e+06,-655860,-838859,-856051
,-1.04194e+06,-708647,-801773,-850431
,-1.0424e+06,-663074,-797482,-844491
,-1.04341e+06,-650501,-792869,-836873
,-1.04396e+06,-640238,-788213,-797895
,-1.0422e+06,-599021,-784342,-791815
,-1.03554e+06,-592144,-783361,-787664
,-992247,-653506,-781628,-849095
,-977955,-651303,-782648,-846595
